[TIMESERIES]
;;Name           Date       Time       Value     
;;-------------- ---------- ---------- ----------
RainGage3        7/21/2012  22:00      8.4       
RainGage3        7/21/2012  22:05      9.6       
RainGage3        7/21/2012  22:10      6         
RainGage3        7/21/2012  22:15      4.8       
RainGage3        7/21/2012  22:20      4.8       
RainGage3        7/21/2012  22:25      3.6       
RainGage3        7/21/2012  22:30      3.6       
RainGage3        7/21/2012  22:35      6         
RainGage3        7/21/2012  22:40      2.4       
RainGage3        7/21/2012  22:45      1.2       
RainGage3        7/21/2012  22:50      2.4       
RainGage3        7/21/2012  22:55      2.4       
RainGage3        7/21/2012  23:00      2.4       
RainGage3        7/21/2012  23:05      3.6       
RainGage3        7/21/2012  23:10      2.4       
RainGage3        7/21/2012  23:15      1.2       
RainGage3        7/21/2012  23:20      0         
RainGage3        7/21/2012  23:25      1.2       
RainGage3        7/21/2012  23:30      0         
RainGage3        7/21/2012  23:35      0         
RainGage3        7/21/2012  23:40      1.2       
RainGage3        7/21/2012  23:45      0         
RainGage3        7/21/2012  23:50      0         
RainGage3        7/21/2012  23:55      0         
RainGage3        7/22/2012  0:00       0         
RainGage3        7/22/2012  0:05       0         
RainGage3        7/22/2012  0:10       2.4       
RainGage3        7/22/2012  0:15       1.2       
RainGage3        7/22/2012  0:20       2.4       
RainGage3        7/22/2012  0:25       4.8       
RainGage3        7/22/2012  0:30       3.6       
RainGage3        7/22/2012  0:35       4.8       
RainGage3        7/22/2012  0:40       15.6      
RainGage3        7/22/2012  0:45       24        
RainGage3        7/22/2012  0:50       21.6      
RainGage3        7/22/2012  0:55       26.4      
RainGage3        7/22/2012  1:00       31.2      
RainGage3        7/22/2012  1:05       22.8      
RainGage3        7/22/2012  1:10       21.6      
RainGage3        7/22/2012  1:15       15.6      
RainGage3        7/22/2012  1:20       19.2      
RainGage3        7/22/2012  1:25       28.8      
RainGage3        7/22/2012  1:30       19.2      
RainGage3        7/22/2012  1:35       16.8      
RainGage3        7/22/2012  1:40       15.6      
RainGage3        7/22/2012  1:45       12        
RainGage3        7/22/2012  1:50       8.4       
RainGage3        7/22/2012  1:55       3.6       
RainGage3        7/22/2012  2:00       1.2       
RainGage3        7/22/2012  2:05       1.2       
RainGage3        7/22/2012  2:10       2.4       
RainGage3        7/22/2012  2:15       6         
RainGage3        7/22/2012  2:20       3.6       
RainGage3        7/22/2012  2:25       2.4       
RainGage3        7/22/2012  2:30       2.4       
RainGage3        7/22/2012  2:35       2.4       
RainGage3        7/22/2012  2:40       1.2       
RainGage3        7/22/2012  2:45       1.2       
RainGage3        7/22/2012  2:50       0         
RainGage3        7/22/2012  2:55       0         
RainGage3        7/22/2012  3:00       0         
RainGage3        7/22/2012  3:05       0         
RainGage3        7/22/2012  3:10       0         
RainGage3        7/22/2012  3:15       0         
RainGage3        7/22/2012  3:20       0         
RainGage3        7/22/2012  3:25       0         
RainGage3        7/22/2012  3:30       0         
RainGage3        7/22/2012  3:35       0         
RainGage3        7/22/2012  3:40       0         
RainGage3        7/22/2012  3:45       0         
RainGage3        7/22/2012  3:50       0         
RainGage3        7/22/2012  3:55       0         
RainGage3        7/22/2012  4:00       0         
